file, text_segment_size, instructions
file472, 8007, 1508043819
file473, 402, 669068971
file474, 322, 634047088
file475, 4399, 1043230297
file476, 4628, 1112211402
file477, 24827, 2020478625
file478, 136, 642780329
file479, 5333, 1063510128
file480, 1729, 667566161
file481, 7380, 1210621931
file482, 1717, 726506885
file483, 528, 595395965
file484, 2909, 902383300
file485, 5093, 1116169691
file486, 620, 686658169
file487, 7827, 1967964754
file488, 2641, 716405905
file489, 372, 596533485
file490, 1115, 654986904
file491, 3040, 998736776
file492, 644, 623928353
file493, 727, 666769809
file494, 2748, 979177301
file495, 5946, 1130872684
file496, 2043, 625027124
file497, 2483, 687892588
file498, 342, 668504439
file499, 330, 637379908
file500, 2027, 829324846
file501, 3370, 781810005
file502, 5330, 988072293
file503, 6337, 1283086093
file504, 61969, 940117067
file505, 1350, 777416289
file506, 1968, 686043368
file507, 8344, 1309933831
file508, 8725, 1135965853
file509, 743, 669348600
file510, 694, 633979991
file511, 777, 743561943
file512, 12716, 1609707973
file513, 1085, 676485336
file514, 5863, 695000944
file515, 503, 686451900
file516, 1976, 625143949
file517, 153, 611739980
file518, 4525, 830297694
file519, 7421, 1398988697
file520, 5186, 1336132379
file521, 5573, 1302991894
file522, 2859, 879838035
file523, 3994, 1086712374
file524, 18568, 1830753500
file525, 627, 633390397
file526, 541, 687207590
file527, 6910, 1035053017
file528, 6817, 701970917
file529, 5552, 1292454105
file530, 742, 742898684
file531, 829, 602243243
file532, 1089, 611468123
file533, 27285, 4000726012
file534, 2216, 773777230
file535, 815, 671742776
file536, 1234, 695614976
file537, 2147, 980762895
file538, 1647, 662425071
file539, 6198, 1019308924
file540, 414, 679913622
file541, 4309, 661217743
file542, 765, 634492236
file543, 6912, 701398854
file544, 19267, 3342340356
file545, 1728, 667483622
file546, 4234, 914799662
file547, 54587, 7649838194
file548, 4965, 671545164
file549, 1268, 805642757
file550, 6361, 1011225991
file551, 6094, 895169766
file552, 4759, 873823950
file553, 2246, 680757545
file554, 1077, 642127245
file555, 5610, 740737954
file556, 981, 736468898
file557, 2969, 760623585
file558, 1136, 648921806
file559, 2775, 947834730
file560, 2702, 632820429
file561, 21548, 1250142001
file562, 164, 618311229
file563, 4923, 728878617
file564, 2761, 764169296
file565, 1097, 610532428
file566, 4580, 937423705
file567, 3264, 1010100715
file568, 953, 745508540
file569, 5657, 1215667760
file570, 585, 676518447
file571, 1153, 684391310
file572, 3987, 659117190
file573, 20305, 2254150265
file574, 2780, 795875965
file575, 1107, 735732851
file576, 4062, 981596888
file577, 6903, 1073488281
file578, 1280, 716347718
file579, 99744, 5424352534
file580, 35796, 2146170236
file581, 1648, 618718697
file582, 22025, 3415671737
file583, 1980, 757463603
file584, 6683, 690068225
file585, 4071, 987388438
file586, 1960, 932788340
file587, 504, 694462001
file588, 1330, 701648400
file589, 524, 677718417
file590, 3963, 778086865
file591, 18872, 2441892988
file592, 5082, 669520560
file593, 806, 607317707
file594, 54268, 5640447588
file595, 1099, 610332085
file596, 2773, 633455414
file597, 520, 631098558
file598, 3024, 694888775
file599, 6826, 793161124
file600, 2148, 837604282
file601, 6071, 1319814701
file602, 11267, 1172347109
file603, 12958, 2013237642
file604, 5755, 684448548
file605, 20678, 3227703575
file606, 5265, 1170186127
file607, 2187, 956883633
file608, 512, 619655028
file609, 9216, 1371621332
file610, 281, 665166098
file611, 861, 744995546
file612, 6237, 992568500
file613, 2831, 817508855
file614, 9362, 1508871720
file615, 1888, 756555102
file616, 193, 655708046
file617, 8303, 1236619040
file618, 1716, 660458546
file619, 3072, 944136406
file620, 4543, 1183157131
file621, 2191, 672531357
file622, 1644, 904434069
file623, 6093, 1382720994
file624, 150, 588693953
file625, 1907, 902177177
file626, 2209, 758109289
file627, 1363, 682736175
file628, 297, 615334470
file629, 66460, 1048466580
file630, 4256, 743740868
file631, 1677, 771177765
file632, 3984, 720888104
file633, 32405, 5051470976
file634, 1200, 651625781
file635, 16141, 1379278463
file636, 2131, 735303966
file637, 12442, 2583364398
file638, 7248, 570362536
file639, 3898, 824612046
file640, 573, 678205349
file641, 78423, 3033733933
file642, 813, 641199472
file643, 2246, 680561456
file644, 1712, 711037644
file645, 702, 712119369
file646, 3241, 854909482
file647, 115, 616591944
file648, 626, 650172635
file649, 1025, 732365177
file650, 2660, 817752167
file651, 6747, 1109387145
file652, 7281, 1150392663
file653, 212, 643884492
file654, 3305, 891212760
file655, 6398, 1306727382
file656, 7305, 2092550068
file657, 1480, 689039569
file658, 672, 673268653
file659, 5927, 675514751
file660, 6188, 1001418692
file661, 13715, 2393539667
file662, 3241, 868618092
file663, 3905, 967288207
file664, 7129, 1329224613
file665, 6251, 1133564750
file666, 65, 598546926
file667, 6632, 956288563
file668, 247, 646938692
file669, 3483, 961968384
file670, 1212, 709348168
file671, 26336, 2395092398
file672, 328, 620694738
file673, 7319, 1985727092
file674, 1395, 709389487
file675, 187, 589305529
file676, 30190, 2881804737
file677, 78911, 9728304779
file678, 639, 637433179
file679, 9523, 736143848
file680, 255, 612741144
file681, 90, 614922725
file682, 1722, 762498226
file683, 1725, 744544547
file684, 31881, 4825691178
file685, 5210, 672432509
file686, 1121, 701690550
file687, 1523, 825846125
file688, 4229, 1130822326
file689, 1411, 800331568
file690, 275, 621098739
file691, 731, 605816054
file692, 2890, 692035255
file693, 1665, 623144900
file694, 7541, 1358957313
file695, 1918, 622923396
file696, 1968, 862025463
file697, 5293, 864229687
file698, 758, 608161922
file699, 3036, 958928447
file700, 2890, 820280043
file701, 7241, 1567715977
file702, 1097, 642571383
file703, 705, 700665265
file704, 97, 600646621
file705, 2958, 1170593732
file706, 125, 603083182
file707, 1108366, 142929398158
file708, 24010, 2021807614
file709, 1873, 647722856
file710, 7109, 1148679777
file711, 5485, 1261805080
file712, 20203, 2865316697
file713, 2195, 630672123
file714, 4199, 1485045544
file715, 1298, 736250845
file716, 661, 641491911
file717, 131, 609822356
file718, 625, 703511553
file719, 919, 723651917
file720, 18629, 2354610453
file721, 863, 645537319
file722, 8910, 1180624540
file723, 150, 624187982
file724, 12530, 1847005289
file725, 1593, 767576483
file726, 452, 684837278
file727, 284, 605786291
file728, 632, 632497243
file729, 234801, 24236153495
file730, 9107, 1364314459
file731, 19106, 1754583580
file732, 1273, 613716935
file733, 7700, 1561644336
file734, 369, 627674885
file735, 19630, 3413619421
file736, 8064, 975145680
file737, 4270, 793377478
file738, 2783, 1071431038
file739, 806, 607392893
file740, 681, 606327683
file741, 70, 601827800
file742, 4200, 857501477
file743, 3525, 650167307
file744, 485, 593648586
file745, 504, 592743772
file746, 4594, 663825873
file747, 1070, 659600664
file748, 22057, 3155558260
file749, 18118, 2612891957
file750, 17685, 1859125091
file751, 4036, 1092363727
file752, 789, 658620985
file753, 4501, 943754813
file754, 18093, 2957792544
file755, 802, 662591020
file756, 934, 652431670
file757, 12092, 1253558478
file758, 828, 727504706
file759, 21671, 3173479850
file760, 103, 617246373
file761, 13108, 798139354
file762, 2195, 848820041
