file, text_segment_size, instructions
file505, 1366, 1095184682
file506, 1968, 1001992873
file507, 8344, 1655885854
file508, 8725, 1459400985
file509, 743, 986529505
file510, 694, 946232421
file511, 777, 1063035230
file512, 12684, 1945263773
file513, 1085, 989337170
file514, 5863, 1018167316
file515, 503, 1002076886
file516, 1976, 941638179
file517, 153, 926859141
file518, 4525, 1151826657
file519, 7623, 1730566633
file520, 5186, 1650548863
file521, 5573, 1634916562
file522, 2859, 1204339496
file523, 3994, 1400152966
file524, 18568, 2182960322
file525, 627, 948059136
file526, 541, 1001337971
file527, 6910, 1358523970
file528, 6817, 1013380925
file529, 5584, 1619877251
file530, 742, 1056331267
file531, 829, 915780676
file532, 1089, 924653915
file533, 27285, 4382001760
file534, 2216, 1093468215
file535, 815, 984542457
file536, 1234, 1017675151
file537, 2147, 1313419004
file538, 1647, 977922155
file539, 6198, 1342178860
file540, 414, 1000854872
file541, 4309, 972673576
file542, 765, 951496382
file543, 6912, 1016968610
file544, 19251, 3749170397
file545, 1728, 744177758
file546, 4234, 997450390
file547, 54571, 8167819556
file548, 4965, 747361058
file549, 1268, 884279398
file550, 6377, 1100314440
file551, 6094, 976350231
file552, 4759, 957790494
file553, 2246, 756087167
file554, 1077, 719167338
file555, 5610, 817814385
file556, 981, 816067180
file557, 2969, 838993832
file558, 1136, 724468208
file559, 2775, 1031651763
file560, 2702, 704735913
file561, 21548, 1575437426
file562, 164, 937791202
file563, 4923, 1043244482
file564, 2761, 1084912491
file565, 1097, 924478377
file566, 4580, 1259323543
file567, 3264, 1338157792
file568, 953, 1062436888
file569, 6203, 1596890876
file570, 585, 990484543
file571, 1153, 998445408
file572, 3987, 972786791
file573, 20113, 2598099126
file574, 2780, 1115826693
file575, 1107, 1051173543
file576, 4062, 1302509434
file577, 6903, 1397326413
file578, 1280, 1033225662
file579, 96816, 5772334157
file580, 35796, 2498330909
file581, 1648, 931142584
file582, 22025, 3798617641
file583, 1980, 1071958917
file584, 6683, 1003446628
file585, 3803, 1284857511
file586, 1960, 1246815910
file587, 504, 1010168232
file588, 1330, 1014736004
file589, 524, 994559525
file590, 3963, 1091553045
file591, 18888, 2791821039
file592, 5082, 985332876
file593, 806, 915423743
file594, 54244, 6137222658
file595, 1099, 917230063
file596, 2773, 945517847
file597, 520, 939843829
file598, 3024, 1005169630
file599, 6824, 1112535325
file600, 2100, 1156368972
file601, 6071, 1656190476
file602, 11267, 1488084901
file603, 12985, 2372260204
file604, 5755, 995706900
file605, 20561, 3632047486
file606, 5225, 1489837958
file607, 2187, 1281657546
file608, 512, 934123791
file609, 9216, 1712774064
file610, 281, 983370290
file611, 861, 1060929335
file612, 6237, 1307293818
file613, 2831, 1135208213
file614, 9362, 1841098130
file615, 1888, 1067804659
file616, 193, 968951705
file617, 8265, 1558896557
