file, text_segment_size, instructions
file32437, 2215, 950298441
file32438, 8389, 2042534019
file32439, 2514, 1017530686
file32440, 81457, 10609049337
file32441, 6080, 1329376637
file32442, 4002, 1384621689
file32443, 5906, 1691744302
file32444, 2122, 902064633
file32445, 4849, 1219442019
file32446, 7332, 1208409420
file32447, 659, 857739968
file32448, 8606, 2092024808
file32449, 91, 691051706
file32450, 4254, 1217959491
file32451, 7359, 1883999676
file32452, 2159, 818630055
file32453, 5667, 1438521847
file32454, 9076, 1420180446
file32455, 2330, 845628889
file32456, 11432, 2390914753
file32457, 13608, 2285331940
file32458, 1357, 904935066
file32459, 60768, 6460675979
file32460, 4351, 1095471276
file32461, 9957, 2153929279
file32462, 4913, 1270915589
file32463, 560, 711359752
file32464, 102, 718969871
file32465, 7717, 1317366530
file32466, 5409, 5604716530
file32467, 21669, 4871004648
file32468, 19024, 4054583874
file32469, 812, 1002037539
file32470, 86, 681081675
file32471, 4480, 1446112400
file32472, 5545, 1003129024
file32473, 4712, 1644146113
file32474, 30332, 5056244849
file32475, 95, 692872325
file32476, 33036, 4649560922
file32477, 24892, 3009475898
file32478, 44935, 5048575974
file32479, 6977, 1294744815
file32480, 341, 799456723
file32481, 19055, 2968062936
file32482, 2131, 901441235
file32483, 42103, 5938424523
file32484, 136308, 18474901846
file32485, 9296, 2113233229
file32486, 17748, 2052029380
file32487, 1062, 827430974
file32488, 634, 751390222
file32489, 2724, 878125509
file32490, 17157, 2091145457
file32491, 1710, 880919580
file32492, 36225, 5908445393
file32493, 406, 819621391
file32494, 1332, 954259543
file32495, 10878, 2149928103
file32496, 141317, 20001931173
file32497, 3039, 1178334632
file32498, 3775, 880665510
file32499, 8900, 1883990888
file32500, 5670, 5606433964
file32501, 286, 796682803
file32502, 17780, 2414355661
file32503, 5565, 1123021768
file32504, 1329, 775535767
file32505, 34133, 6258759017
file32506, 13458, 1902139438
file32507, 20752, 2845133731
file32508, 8499, 1258936262
file32509, 18948, 3830811050
file32510, 6121, 1334417313
file32511, 335, 734441670
file32512, 11066, 2158802355
file32513, 483, 638484226
file32514, 130786, 12996915848
file32515, 102578, 15914330663
file32516, 13602, 2906548980
file32517, 10838, 1755922005
file32518, 2224, 1009329508
file32519, 13397, 2038297414
file32520, 17416, 3165388864
file32521, 16503, 2690495963
file32522, 27681, 3423362865
file32523, 36493, 4669842580
file32524, 4546, 1571041725
file32525, 2872, 910230167
file32526, 109745, 8877541008
file32527, 8134, 1544843438
file32528, 14207, 2117314665
file32529, 21288, 2927462737
file32530, 916, 810206445
file32531, 118, 700904388
file32532, 8987, 2190535749
file32533, 45109, 6444620412
file32534, 2955, 975105075
file32535, 5981, 2357813101
file32536, 9136, 1826979855
file32537, 7018, 1968543882
file32538, 2537, 1603613865
file32539, 7040, 1700730747
file32540, 28713, 8012324399
file32541, 8731, 1519681457
file32542, 18024, 2241708914
file32543, 15175, 2410492905
file32544, 540, 821491642
file32545, 14409, 2132016302
file32546, 9286, 2045589819
file32547, 31233, 3339939837
file32548, 7807, 1506996321
file32549, 24006, 2253181576
file32550, 580566, 8208217541
file32551, 5865, 1230555341
file32552, 10485, 1917495067
