file604,5755,837881753
file605,20561,3484406091
file606,5225,1344385269
file607,2187,1118627726
file608,512,768822340
file609,9216,1556255889
file610,281,828017186
file611,861,897374064
file612,6237,1156142032
file613,2831,981606380
file614,9362,1689101156
file615,1888,910646467
file616,193,807601011
file617,8265,1398811760
file618,1716,809310630
file619,3072,1102260295
file620,4543,1356643970
file621,2191,818793517
file622,1644,1063932566
file623,6093,1577326918
file624,150,747825942
file625,1907,976964433
file626,2209,837284619
file627,1363,760083390
file628,297,690762561
file629,66460,1133684688
file630,4256,821012963
file631,1677,854170016
file632,3984,796606952
file633,32405,5347430103
file634,1200,726938936
file635,16141,1470425076
file636,2131,814730948
file637,12442,2732210821
file638,7248,639515551
file639,3898,908396413
file640,573,759408219
file641,78423,3300501988
file642,813,854142952
file643,2246,899445479
file644,1712,931377595
file645,702,929634289
file646,3241,1078632724
file647,115,828871530
file648,626,868846581
file649,1025,960410609
file650,2660,1042144016
file651,6747,1336033733
file652,7281,1379662716
file653,212,858298646
file654,3305,1114071920
file655,6265,1514523295
file656,7305,2334177919
file657,1480,907305914
file658,672,893405383
file659,5927,887665364
file660,6188,1222718279
file661,13780,2648989477
file662,3241,1083003932
file663,3905,1184889840
file664,7129,1564271659
file665,6235,1355305492
file666,65,809739452
file667,6632,1180188721
file668,247,859451597
file669,3483,1186618327
file670,1212,922612718
file671,26336,2643039415
file672,328,833381882
file673,7764,2257753160
file674,1395,919186858
file675,187,797030448
file676,30190,3145181223
file677,78863,10350229237
file678,639,849643642
file679,9523,951834148
file680,255,828756487
file681,90,824047483
file682,1722,976537718
file683,1725,957678640
file684,31900,5187713342
file685,5210,880840611
file686,1121,911062072
file687,1523,1048644665
file688,4229,1361663559
file689,1411,1018929296
file690,275,831159159
file691,731,813024676
file692,2890,903539395
file693,1665,827445983
file694,7541,1575837976
file695,1918,823823351
file696,1968,1081093992
file697,5293,1078983946
file698,758,818180703
file699,3036,1174309114
file700,2890,1031087547
file701,7225,1795255767
file702,1097,848593689
file703,705,907609377
file704,97,803710032
file705,2958,1262620844
file706,125,676280097
file707,1109382,150125932408
file708,24010,2131965968
file709,1873,721014050
file710,7093,1247983728
file711,5533,1373692568
file712,20187,3040852107
file713,2195,704071296
file714,4048,1557733397
file715,1298,813980495
file716,661,715217165
file717,131,683854318
file718,625,782672614
file719,919,803676063
file720,18629,2487171546
file721,863,833829888
file722,8910,1388458298
file723,150,807912456
file724,12426,2062635383
file725,1593,954959301
file726,452,894381917
file727,284,780364719
file728,632,814514059
file729,234257,25073992307
file730,9107,1566644035
file731,19106,1960819250
file732,1273,787630059
file733,7716,1767193509
file734,369,795317311
file735,19182,3568871383
file736,8064,1159230607
file737,4270,973232647
file738,2783,1265934610
file739,806,784280704
file740,681,767689090
file741,70,760121895
file742,4240,1024604073
file743,3525,822177390
file744,485,770412397
file745,504,764482560
file746,4594,824674472
file747,1070,819920846
file748,22041,3376782913
file749,18102,2830301959
file750,17685,2062944950
file751,4036,1271316097
file752,789,817405098
file753,4501,1113034681
